year,first_field_mm,second_field_mm
2016,612.4,612.4
2017,1102.9,1102.9
2018,1071.8,1071.8
2019,1234.5,1234.5
2020,772.1,772.1
2021,1067.6,1067.6
2022,1084.7,1084.7
2023,770.3,770.3
2024,1169.6,1169.6
2025,1048.5,1048.5
